,text,audio_file
42,ਹਲ ਸਰ ਮ ਤਹਡ ਤ ਪਹਲ ਇਕ ਵਰ ਅਸ ਤਹਡ ਤ ਜਨ ਔਡਰ ਕਤ ਸ ਤ ਉਹ ਕਫ ਆਦ ਅਸ ਸਚਆ ਸ ਬਹ ਵਧਆ ਆਉਗ ਪਰਡਕਟ ਜਵ ਕ ਸਨ ਦਖਦ ਕਛ ਹਰ ਐ ਬਅਦ ਚ ਆਦ ਕਛ ਹਰ ਤ ਅਸ ਮਤਲਬ ਕ ਜਨ ਔਡਰ ਕਤ ਸਗ ਉਹ ਸਨ ਐਨ ਵਧਆ ਲਗਆ ਕ ਚਲ ਅਸ ਮਗ ਲਈਏ ਬਟ ਉਹ ਜਦ ਅਸ ਔਡਰ ਕਤ ਤ ਜਦ ਇਕ ਹਫਤ ਬਅਦ ਆਇਆ ਤ ਉਹ ਰਗ ਵ ਥ ਜਹ ਉਡਆ ਵ ਤ ਤ ਕਫ ਆਦ ਲਸ ਸਗ ਤ ਮਤਲਬ ਅਨਪਰਫਕਟ ਸਗ ਮਤਲਬ ਅਠਈ ਅਸ ਅਠਈ ਕਮਰ ਮਗਈ ਸ ਉਹ ਵ ਸਨ ਤਹ ਬਤ ਕਮਰ ਸਗ ਤ ਸਰ ਕਛ ਅਨਪਰਫਕਟ ਸਗ ਕਛ ਵ ਵਧਆ ਨਹ ਸਗ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580827069.wav
54,ਭਜ ਕਹ ਕਹ ਦਸਓ ਮਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
16,ਮਹਲ ਜਲਹ ਵਚ ਬਹਤ ਮਹਤਵਪਰਨ ਸਥਨ ਹਨ ਜਵ ਅਲਟ ਮਲ ਇਹ ਘਮਣ ਫਰਨ ਤ ਸਪਗ ਕਰਨ ਲਈ ਬਹਤ ਪਰਸਧ ਜਗਹ ਹ ਇਥ ਬਹਤ ਸਰ ਲਕ ਸਪਗ ਕਰਨ ਆਦ ਹਨ ਅਤ ਆਪਣਆ ਪਸਦਦ ਚਜ ਲ ਕ ਜਦ ਹਨ ਅਤ ਦਜ ਸਥਨ ਰਸਟਰਟ ਐਡ ਕਫ ਸਪ ਹ ਜਥ ਖਣ ਪਣ ਲਈ ਲਕ ਜਦ ਹਨ ਅਤ ਆਪਣ ਫਮਲ ਨਲ ਕਆਲਟ ਔਫ ਟਈਮ ਸਪਡ ਕਰਦ ਹਨ ਇਜਏ ਕਰਦ ਹਨ ਬਹਤ  ਗਰਦਆਰ ਮਦਰ ਇਥ ਮਖ ਸਥਨ ਹਨ ਅਤ ਇਨਹ ਨ ਬਹਤ ਸਰ ਲਕ ਮਨਦ ਹਨ ਤ ਇਥ ਬਹਤ ਸਰਆ ਮਨਕਮਨ ਪਰਆ ਹਦਆ ਹਨ  ਜਸ ਕਰਨ  ਇਹਨ ਦ ਬਹਤ ਮਨਅਤ ਬਣ ਹਈ ਹ ਅਤ ਰਸ ਗਰਡਨ ਐਡ ਰਕ ਗਰਡਨ ਵ ਇਕ ਪਰਸਧ ਜਗਹ ਹ ਇਸ ਜਲਹ ਦ ਇਥ ਬਹਤ ਸਰ ਲਕ ਨ ਆ ਕ ਸਤ ਮਲਦ ਹ ਅਤ ਉਹਨ ਨ ਬਹਤ ਵਧਆ ਮਹਸਸ ਹਦ ਹ ਇਥ ਬਹਤ ਸਰ ਫਲ ਲਗ ਹਏ ਹਨ ਕਛ  ਫਲ ਬਹਰ ਆਦ ਹਨ ਤ ਇਹਨ ਸਥਨ ਵਚ ਮਲ ਫਵਰਟ ਸਥਨ ਛਪਚ ਹ  ਜਥ ਸਡ ਗਰਆ ਦ ਜਗ ਹਈ ਸ ਅਤ ਮ ਜਦ ਵ ਇਸ ਸਥਨ ਵਚ ਜਦ ਹ ਬਹਤ ਮਣ ਮਹਸਸ ਕਰਦ ਹ ਅਤ ਮਨ ਬਹਤ ਖਸ ਮਹਸਸ ਹਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813128.wav
39,ਪਰ ਜ  ਗਸ ਚਲ ਦ ਔਪਸਨ ਵ ਹ ਪਰ ਜਆਦਤਰ ਅਸ ਅਜ ਕਲਹ ਇਡਕਸਨ ਚਲ ਹ ਵਰਤਦ ਹ ਤ ਫਰਜ ਦ ਵਰਤ ਵ ਵਧ ਕਤ ਜਦ ਹ ਇਸ ਕਰਕ ਬਜਲ ਦ ਬਹਤ ਸਖਤ ਲ ਹ ਅਸ  ਇਨਵਰਟਰ ਵ ਵਰਤਦ ਹ ਪਰ ਇਨਵਰਟਰ ਜਆਦਤਰ ਪਖ  ਚਲਏ ਜ ਸਕਦ ਹਨ ਜ  ਬਹਤ ਘਟ ਮਤਰ ਵਚ ਬਜਲ ਵਰਤ ਸਕਦ ਹ ਇਨਵਰਟਰ ਦ ਥਰ ਸ ਸਨ ਬਜਲ ਦ ਬਹਤ ਲ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580826762.wav
56,ਹਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
78,ਓਕ ਭਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
7,ਕ ਮ ਯ ਏ ਐਨ ਨਬਰ ਚਰ ਇਕ ਇਕ ਛ ਛ ਚਰ ਇਕ ਅਠ ਸਤ ਤਨ ਅਠ ਚਰ ਦ ਵਰਤ ਕਰਕ ਪਸਬਕ ਬਕਇਆ ਜਚ ਕਰਨ ਲਈ ਕਸ ਹਰ ਮਬਇਲ ਨਬਰ ਨਲ ਈ ਪ ਐਫ ਓ ਪਰਟਲ 'ਤ ਲਗਇਨ ਕਰ ਸਕਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580803481.wav
50,ਮ ਕਹ ਭਜ ਪਜਬ ਤ ਬਲ ਰਹ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
53,ਮ ਕਹ ਭਜ ਯਰ ਮ ਪਜਬ ਚ ਘਮਣ ਚਹਦ ਜ ਵਧਆ ਵਧਆ ਜਗਹ ਦਸ ਸਕਦ ਮਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
19,ਪਜਬ ਭਸ ਪਜਬ ਵਚ ਬਲ ਜਣ ਵਲ ਇਕ ਮਖ ਪਸ ਹ ਮ ਵ ਮਹਲ ਪਜਬ ਦ ਇਕ ਮਹਲ ਜਲਹ ਵਚ ਰਹਦ ਹ ਜਥ ਪਜਬ ਹ ਬਲ ਜਦ ਹ ਇਸ ਭਸ ਨ ਲਕ ਬਹਤ ਹ ਆਸਨ ਨਲ ਬਲ ਬਲ ਬਲ ਲਦ ਹਨ ਪਜਬ ਭਸ ਬਹਤ ਹ ਆਸਨ ਨਲ ਬਲ ਜਦ ਹ ਸਕਲ ਵਚ ਵ ਇਹ ਭਸ ਸਰਕਰ ਨ ਹਣ ਲਜਮ ਕਰ ਦਤ ਹ ਪਹਲ ਇਹ ਲਜਮ ਨਹ ਸ ਬਟ ਸਰਕਰ ਨ ਹਣ ਇਹ ਬਹਤ ਚਗ ਕਮ ਕਤ ਹ ਕ ਇਸ ਨ ਹਰ ਖਤਰ ਵਚ ਲਜਮ ਕਰ ਦਤ ਹ ਕਲਜ ਵਚ ਵ ਇਹ ਲਜਮ ਹ ਚਕ ਹ ਤ ਸਨ ਆਪਣ ਪਜਬ ਭਸ ਤ ਬਹਤ ਹ ਆਦ ਮਨ ਹ ਸਡ ਘਰ ਵਚ ਵ ਹਰਕ ਕਈ ਪਜਬ ਹ ਬਲਦ ਹ ਪਜਬ ਭਸ ਬਹਤ ਹ ਆਸਨ ਨਲ ਬਲ ਜ ਸਕਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813607.wav
66,ਭਜ ਯਰ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
25,ਸ਼ਸਕਲ ਭਜ ਮ ਏਅਰਪਰਟ ਤ ਪਹਚ ਗਈ ਆ ਜ  ਮ ਤਹਡ ਪਮਟ ਕਲਅਰ ਕਰਨ ਐ ਜ ਜ ਤਹਡ ਕਲ਼ ਕਈ ਗਗਲ ਪ ਯ ਪਟਐਮ ਚਲਦ ਐ ਭਜ ਤ ਮਨ ਦਸਦ ਮ ਤਹਡ ਪਮਟ ਕਲਅਰ ਕਰਦਵ ਭਜ  ਥਕਯ ਵਰ ਮਚ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580819179.wav
44,ਭਰਤ ਨਕਰ ਬਜਰ ਦ ਹਲਤ ਕਛ ਬਹਤ ਵਧਆ ਨਹ ਐ ਇਥ ਜਹ ਪਹ ਲਖ ਲਕ ਨ ਉਹਨ ਦ ਕਲ ਡਗਰਆ ਤ ਹਨ ਪਰ ਹਥ ਨਲ ਕਮ ਕਰਨ ਦ ਕਈ ਵ ਹਨਰ ਨਹ ਐ ਇਸ ਕਰਕ ਜਹ ਛਟ ਉਦਯਗ ਨ ਉਹਨ ਦ ਵਲ ਬਚ ਘਟ ਉਹਨ ਦ ਰਝਨ ਘਟ ਹ ਰਹ ਹ ਛਟ ਉਦਯਗ ਦ ਵਚ ਗਰਮਟ ਨ ਚਹਦ ਐ ਕ ਛਟ ਉਦਯਗ ਦ ਵਚ ਬਚਆ ਨ  ਵਧ ਤ ਵਧ ਉਤਸ਼ਹਤ ਕਤ ਜਵ ਤ ਕ ਨਕਰਆ ਦ ਵਸਤ ਬਚ ਨ ਜ ਕ ਆਪਣ ਆਪਣ ਕਰਬਰ ਜਹ ਨ ਉਹ ਕਰ ਸਕਣ ਤ ਦਸ ਦ ਜਹ ਅਰਥ ਵਵਸਥ ਹ ਉਹਦ ਵਚ ਵ ਕਛ ਸਧਰ ਹ ਸਕ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580828970.wav
13,ਸਸਰਕਲ ਜ ਮ ਤਨਵਰ ਸਘ ਗਲ ਕਰ ਰਹ ਮ ਮ ਠਡ ਵਬਸਈਟ ਤ ਨਚਲ ਗ ਪਰਫਊਮ ਮਗਵਇਆ ਸ ਜਸ ਦ ਡਲਵਰ ਬਹਤ ਲਟ ਹਈ ਹ ਅਤ ਇਸਦ ਪਕਗ ਵ ਬਹਤ ਬਕਰ ਨਕਲ ਅਤ ਮ ਦਸ ਬਟਲ ਮਗਵਈਆ ਸ ਜਸ ਦ ਵਚ ਚਰ ਬਟਲ ਟਟਆ ਹਈਆ ਅਤ ਦ ਬਟਲ ਹ ਠਕ ਨਕਲਆ ਤ ਜਦ ਕ ਬਟਲ ਤਸ ਢਈ ਸ ਐਮ ਐਲ ਦਆ ਦਖਈਆ ਅਸ ਆਪਣ ਵਬਸਈਟ ਤ ਬਟ  ਡਲਵਰ ਲਣ ਤ ਬਅਦ ਮਨ ਪਤ ਲਗਆ ਕ ਇਹ ਤ ਸ ਐਮ ਐਲ ਦਆ ਵ ਨ ਹਗਆ ਤ ਇਹਨ ਦ ਐਕਸਪਇਰ ਡਟ ਵ ਬਹਤ ਨਜ ਨਜਦਕ ਹ  ਮ ਇਸ ਡਲਵਰ ਤ ਖਸ ਨਹ ਹ ਅਤ ਇਸ ਪਰਫਊਮ ਨ ਯ ਕਰਨ ਨਲ ਸਕਨ  ਸਕਨ ਤ ਪਰਬਲਮਸ ਆ ਗਈਆ ਹਨ ਜਸ ਦ ਕਰਨ ਮਰ ਹਥ ਤ ਛਲ ਵ ਹ ਗਏ ਅਤ ਇਸ ਦ ਖਸਬ ਜਦ ਤਸ ਕਹ ਸ ਓਦ ਦ ਨਹ ਨਕਲ ਇਹ ਜਮ ਬਕਰ ਹ ਅਤ  ਅਗ ਤ ਜ ਮਨ ਕਈ ਵ ਪਛਗ ਕ ਠਡ ਵਬਸਈਟ ਤ ਔਰਡਰ ਕਰਨ ਚਹਦ ਹ ਯ ਨਹ ਮ ਉਸ ਨ ਨ ਕਹਗ  ਬ ਇਥ ਕਦ ਵ ਔਰਡਰ ਨ ਕਰਓ ਤ ਬਕ ਜਹ ਵ ਮਰ ਪਸ ਹਨ ਮ  ਚਹਦ ਹ ਕ ਉਹਨ ਨ ਰਫਡ ਕਰ ਦਤ ਜਵ ਤ ਆਪਣ   ਬਟਲ ਵਪਸ ਲ ਜਓ ਮਨ ਇਹ ਨਹ ਚਹਦਆ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813099.wav
75,ਭਜ ਫਰ ਮ ਨ ਤਹਨ ਪਰਸ ਨ ਫਨ ਕਰਗ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
3,ਪਜਬ ਭਸ ਸਭ ਤ ਜਆਦ ਸਖ ਮਨ ਜਦ ਹ ਤ ਜਹ ਵਪਰ ਅਤ ਹਰ ਵ ਛਤਰ ਹਨ ਉਧਰ ਵ ਪਜਬ ਭਸ ਦ ਉਪਯਗ ਜਆਦਤਰ ਕਤ ਜਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580803154.wav
17,ਸਸਰਕਲ ਜ ਮ ਮਨਸ ਗਲ ਕਰ ਰਹ ਹ ਮ ਥਡ ਇਸਟ ਆਈ ਡ ਤ ਥ ਦਨ ਪਹਲ ਇਕ ਫਸ ਕਰਮ ਔਰਡਰ ਕਤ ਸ ਜਸ ਦ ਡਲਵਰ ਮਨ ਪਦਰ ਦਨ ਦ ਵਚ ਅਦਰ ਆਣ ਸ ਬਟ ਉਹ ਅਜ ਇਕ ਮਨਹ ਹ ਗਆ ਹ ਤ ਉਹ ਅਜ ਮਰ ਕਲ ਪਹਚ ਹ ਇਸਦ ਪਕਗ ਦ ਗਲ ਕਰ ਤ ਇਸਦ ਪਕਗ ਬਹਤ ਹ ਜਆਦ ਘਟਆ ਸ ਜ ਮਨ ਬਲਕਲ ਪਸਦ ਨ ਆਈ ਇਸ ਦ ਵਚ ਮਨ ਤਨ ਪਊਚ ਮਲਣ ਸ ਬਟ ਮਨ ਇਕ ਹ ਰਸਵ ਹਇਆ ਹ ਤ ਇਸਦ ਕਆਟਟ ਵ ਬਹਤ ਜਆਦ ਹ ਘਟ ਹ ਐਕਸਪਇਰ ਡਟ ਦ ਗਲ ਕਰ ਐਕਸਪਇਰ ਡਟ ਇਸ ਦ ਬਹਤ ਜਆਦ ਨ ਹ ਸ ਤ ਇਹ ਇਕ ਮਹਗ ਹਣ ਕਰਕ ਇਕ ਇਸਦ ਸਰਵਸ ਬਹਤ ਜਆਦ ਘਟਆ ਹ ਮ ਇਸਨ ਆਪਣ ਹਥ ਤ ਯ ਕਰਕ ਦਖਆ ਸ ਤ ਇਸ ਨ ਮਰ ਹਥ ਤ ਪਰ ਰਸਸ ਕਰਤ ਬਹਤ ਆਦ ਇਹਨ ਮਰ ਹਥ ਖਰਬ ਕਰਤ ਜਸ ਕਰਕ ਮਨ ਡਕਟਰ ਕਲ ਜਣ ਪਆ ਸ ਮਨ ਥਡ ਇਹ ਸਰਵਸ ਬਲਕਲ ਵ ਪਸਦ ਨ ਆਈ ਇਕ ਤ ਇਹ ਬਹਤ ਆਦ ਹ ਮਹਗ ਹਣ ਕਰਕ ਮ ਮਸ ਹ ਇਹ ਔਰਡਰ ਕਤ ਸ ਇਕ ਤ ਇਹ ਔਰਡਰ ਲਟ ਆਇਆ ਠਡ ਤ ਉਪਰ ਤ ਐਨ ਆਦ ਮਹਗ ਐ ਪਲਜ ਕਰਪ ਕਰਕ ਇਸਨ ਰਫਡ ਕਰ ਤ ਜ ਫਰ ਮਰ ਪਸ ਵਪਸ ਕਰ ਅਜਹ ਪਰਡਕਟਸ ਨ ਤਸ ਵਚਣ ਤ ਪਹਲ ਇਕ ਵਰ ਚਕ ਤ ਕਰ ਕ ਜਹ ਥਨ ਤਸ ਅਗ ਦਣ ਹ ਉਸ ਬਦ ਨ ਕਨ ਐਲਰਜ ਕਰਗ ਯ ਕਛ ਕਰਗ ਉਹਦ ਹਲਥ ਹਲਥ ਤ ਵ ਇਹ ਇਫਕਟ ਕਰ ਸਕਦ ਹ ਸ ਪਲਜ ਇਹ ਜਹ ਸਰਵਸ ਨ ਕਰ ਮ ਇਹ ਸਰਵਸ ਤ ਬਹਤ ਆਦ ਨਖਸ ਹ ਕਸ ਕਰਪ ਕਰਕ ਮਰ ਪਸ ਵਪਸ ਕਰ ਧਨਵਦ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813595.wav
38,ਸਡ ਰਜ ਰਟ ਬਜਲ ਤ ਨਰਭਰ ਕਰਦ ਹ ਅਸ ਖਣ ਬਣਉਣ ਵਲ ਇਡਕਸਨ ਚਲ ਦ ਵਰਤ ਕਰਦ ਹ ਤ ਫਰਜ ਦ ਵਰਤ ਵ ਵਧ ਕਤ ਜਦ ਹ ਪਰ ਜਕਰ ਬਜਲ ਦ ਕਟ ਜਆਦ ਹਣ ਜਵ ਕ ਗਰਮਆ ਦ ਵਚ ਕਟ ਜਆਦ ਲਗਦ ਹਨ ਤ ਸਨ ਬਹਤ ਦਕਤ ਆਉਦ ਹ ਵ ਜ ਖਣ ਬਚ ਜਵ ਤ ਉਸਨ ਫਰਜ ਵਚ ਰਖਆ ਜਵ ਤ ਜ ਲਈਟ ਨ ਹਵ ਤ ਖਣ ਖਰਬ ਹ ਸਕਦ ਹ ਪਰ ਸਰਦਆ ਦ ਵਚ ਇਹ ਦਕਤ ਘਟ ਆਉਦ ਹ ਕਉਕ ਸਰਦਆ ਦ ਵਚ ਫਰਜ ਦ ਵਰਤ ਘਟ ਕਤ ਜਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580826762.wav
8,ਕ ਤਸ ਚਕ ਕਰ ਸਕਦ ਹ ਕ ਕ ਇਸ ਮਹਨ ਦ ਤਨਖਹ ਮਰ ਯਕ ਬਕ ਦ ਖਤ ਦ ਨ ਤਨ ਛ ਨ ਸਤ ਇਕ ਛ ਨ ਅਠ ਇਕ ਛ ਇਕ ਅਠ ਵਚ ਆਈ ਸ ਅਤ ਜਕਰ ਹ ਤ ਛਤਸਗਹ ਰਜ ਗਰਮਣ ਬਕ ਦ ਖਤ ਤਨ ਨ ਚਰ ਛ ਸਤ ਨ ਪਜ ਤਨ ਚਰ ਇਕ ਚਰ ਇਕ ਛ ਦ ਵਚ ਗਗਲ ਪ ਰਹ ਵਚ ਤਨ ਸ ਰਪਈਏ ਟਰਸਫਰ ਕਰ ਦ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580807742.wav
65,ਅਛ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
6,ਪਜਬ ਭਸ ਸਭ ਤ ਜਆਦ ਸਰਲ ਭਸ ਮਨ ਜਦ ਹ ਅਤ ਉਹ ਸਡ ਸਭਆਚਰ ਨ ਵ ਪਰਭਵਤ ਕਰਦ ਹ ਹਰ ਭਸਵ ਨਲ ਪਜਬ ਭਸ ਜਹ ਸਭ ਤ ਜਆਦ ਸਨ ਆਪਣ ਵਚਰ ਪਰਗਟ ਕਰਨ ਦ ਇਕ ਸਹਲਅਤ ਦ ਦਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580803154.wav
36,ਪਜਬ ਵਚ ਸਹਰ ਅਤ ਪਡ ਖਤਰ ਵਚ ਸਭਆਚਰਕ ਅਤਰ ਸਫ ਦਖਣ ਨ ਮਲਦ ਹ  ਪਜਬ ਦ ਪਡ ਪਜਬ ਦ ਸਭਆਚਰ ਦਆ ਜ ਨਲ ਜ ਹਨ ਪਡ ਵਚ ਭਈਚਰ ਅਤ ਸਝ ਦਖਣ ਨ ਮਲਦ ਹ ਇਸ ਦ ਉਲਟ ਸਹਰ ਖਤਰ ਵਚ ਲਕ ਆਪਣ ਆਪਣ ਜਵਨ ਦ ਵਚ ਐਨ ਮਸਰਫ ਹਨ ਕ ਉਹਨ ਨ ਕਸ ਦ ਕਸ ਦ ਦਖ ਸਖ ਬਰ ਆਦ ਖਬਰ ਨਹ ਰਹਦ ਪਡ ਵਚ ਲਕ ਇਕ ਦਜ ਦ ਦਖ ਅਤ ਸਖ ਵਚ ਹਮਸ ਖ ਮਲਦ ਹਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580826210.wav
72,ਅਛ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
58,ਅਛ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
46,ਮਜਦ ਜ ਸਮ ਚਲ ਰਹ ਇਹਦ ਵਚ ਵਗਆਪਨ ਇਕ ਕਈ ਤਰਕਆ ਨਲ ਲਕ ਦ ਵਚ ਪਹਚਆ ਜ ਸਕਦ ਹ ਜਵ ਜਹ ਇਟਰਨਟ ਦ ਜ ਮਧਅਮ ਹਨ ਉਹ ਹ ਯਟਊਬ ਫਸਬਕ ਵਗਰ ਜ ਇਸਗਰਮ ਯ ਸਨਪਚਟ ਇਸ ਤਰਹ ਦ ਹਗ ਨ ਤ ਹਰ ਜਹ ਪਰਣ ਜਹ ਤਰਕ ਸਨ ਉਹ ਪਪਰ ਦ ਵਚ ਪਪਲਟ ਦ ਕ ਨਊਪਪਰ ਦ ਵਚ ਇਸ ਤਰਹ ਦ ਤਰਕ ਸਨ ਪਰ ਜ ਅਜ ਕਲਹ ਦ ਜਹ ਹ ਇਟਰਨਟ ਦ ਮਧਅਮ ਇਹ ਬਹਤ ਈ ਵਧਆ ਹ ਤ ਇਸ ਦ ਜਹ ਯਸਰ ਹ ਉਪਭਗਤ ਹ ਉਹ ਹਰ ਇਕ ਕਫ ਲਕ ਕਰਦ ਨ ਸਮਰਟ ਫਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580829158.wav
77,ਦਸ ਦਓ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
